20173816-70,那完全是瞎说; 是对我的诽谤
20173816-3906,房东刚打来电话催房租。
20173816-3907,请你配合我们的工作。
20173816-3940,他总是觉得自己很没用。
20173816-3967,要善于发现美。
20173816-3969,飞机已经起飞了。
20173817-27,你说的容易; 想过我们的感受吗
20173817-29,我是根据经验才这样说的; 你必须听我的
20173817-56,你怎么这么说; 我这可都是为了你
20173817-66,他对你的评价很高; 你还要继续努力
20173817-76,谁也不能保证太阳明天还会从东方升起
20173817-110,我不能保证以后会一直对你这样
20173817-134,我今天钱包丢了; 让我感到很沮丧
20173817-139,你俩最后还是走到了一起; 这就是命运啊
20173817-143,我不早就告诉你了吗; 不要抱太大的希望
20173817-160,他打电话说他病了; 但是其实他去旅行了
20173817-196,电脑能帮助我们节省时间; 提高工作效率
20173817-198,我只是无聊地发了一会儿呆; 他就发现了
20173817-212,换个工作是唯一的解决方法
20173817-220,别客气; 就像自己家里一样
20173817-230,我找不到之前涂改的痕迹了
20173817-238,这是我们第一次见面; 但是我们聊天很投缘
20173817-255,你了解这家公司的背景吗; 请说明一下
20173817-292,你真有胆量; 竟然敢这么跟我讲话
20173817-294,最近空气质量不好; 每天都有雾
20173817-322,玩笑到此为止; 接下来进入正题
20173817-329,你就是个胆小鬼; 这点事情都不敢做
20173817-344,走进农贸市场大门; 我就闻到了一股难闻的气味
20173817-366,在新的一年里; 我又学会了一门本领
20173817-505,父母如果是喜欢读书的人; 孩子的自控力也不会差
20173817-371,每次下雨妈妈都会穿上筒靴亲自送我去上学
20173817-374,我一直没有忘记过那个感动我的瞬间; 偶尔想起来的时候依旧会热泪盈眶
20173817-581,做这种事; 你也太不小心了; 留下一个大把柄
20173817-383,接连的失败让我失去了重振自我的信心：我该怎么办
20173817-594,他自己会判断; 慢慢也会倾向于选择跟同学交往
20173817-595,你平时为什么这么严肃; 你应该多笑一笑
20173817-405,只有顽强的生存下去; 不断前进; 才能到达自己想要去的地方
20173817-609,你得看到事情好的一面; 别想得那么严重
20173817-413,对于这种没有回应的对话; 是很挑战我的耐心的
20173817-621,你看起来很困惑; 我感到很内疚
20173817-432,本来想再说点什么; 可是我却不知道该从何说起
20173817-640,我在地图的什么位置上; 我迷路了
20173817-433,我们总是在怀念中成长; 成长中习惯
20173817-438,友情或许本来就是一个阶段性的产物
20173817-642,从第一个信号灯往右转; 在左侧拐角就可以看到
20173817-650,这里是十字路口; 禁止停车
20173817-657,上次你推荐的事哪家菜馆; 我想去试试
20173817-455,父母的作用要远远胜过大人心目中的上级和同事
20173817-678,收获的不仅仅是一份果实; 而且是一种奋进的动力
20173817-475,父母从小不管我; 让我自由发展
20173817-487,人的自我调整包括封闭性的自我暗示
20173817-689,人们在享受的同时; 却在不知不觉的恶化我们的生存环境
20173817-491,实施正确的教育方法; 要从调整心态开始
20173817-725,他既是我小学生活的好伙伴; 也是我人生道路上的一个小老师
20173817-502,假期不要让自己孩子出去拿着手机到处显摆
20173817-744,外面的世界太复杂了; 书的种类也非常繁多
20173817-755,教师应当更多关注孩子的情绪和心理; 努力调整和改进自己的教育行为
20173817-757,面对家长的不理解; 抱怨、闹情绪都是教师不成熟的表现
20173817-765,到目前为止; 一切都还顺利
20173817-780,她用同样的声音做了自我介绍; 然后开始给学生们讲题
20173817-801,这次玩的很高兴; 改天我们再聚会
20173817-839,刚才差点出车祸; 我怕极了
20173817-843,在那一刹那; 我看到了他眼睛里分明流露出一种渴望; 还泛着点点泪光
20173817-853,不想在将来的某天憎恨如今不是那么努力的自己
20173817-869,人们总以为贵的东西就是好的; 便纷纷抢购
20173817-873,一个虚荣心极强; 不懂得节俭的人将来如何在社会上立足
20173817-897,其实亏待他人; 最后亏待的还是自己
20173817-915,这些人没有一个完整的童年; 也算不上拥有过一个完美的成年
20173817-916,昨天我做了个可怕的梦
20173817-922,你的衣服穿反了; 赶紧调整一下
20173817-942,先吃点东西吧; 饭马上就好
20173817-946,能给我点零花钱吗
20173817-947,每一个感动中国的人物身上都有一些常人不具备的闪光点
20173817-949,真正能代表一个人一生的是他现在和将来的所作所为
20173817-956,你能帮我准备餐具吗
20173817-965,小河不再美丽了; 与小河美好的记忆也只能永远成为回忆了
20173817-967,一个人不会因为生活的挫折而放弃生活才是生活的强者
20173817-971,一个人依托父母来到这个世界上; 同时又要依靠父母的辛勤养育才能长大成人
20173817-985,书; 像一个指南针; 在我迷路的时候; 给我指点方向
20173817-989,爱不是索取而是给予; 当他能给别人爱的时候; 他就长大了
20173817-993,第一次离开了母亲温暖的怀抱; 投入到炽热的阳光下; 开始了独立的生活
20173817-996,我们应当拥有一个有快亦有慢; 快慢适度的人生; 那才是一个完美的人生
20173817-1013,每天晚上睡觉前妈妈都给我讲故事。
20173817-1016,我一次次的举手; 可老师总是叫别人回答问题。
20173817-1019,早上我一边吃饭一边无精打采的翻阅报纸。
20173817-1020,每次回老家; 妈妈都到村口来接我。
20173817-1027,他把捉到的蛐蛐放进笼子里。
20173817-1104,玛丽; 你的新发型使你年轻了10岁。
20173817-1171,我想喝一杯加冰的可乐。
20173817-1193,他们都按时交作业的部分原因是害怕被留校。
20173817-1210,不要让铃声响太久; 应尽快接电话。
20173817-1211,你们的工作做的很细致; 我们以后的合作是长久的。
20173817-1217,美国人最擅长以夸大的动作; 表现自己内心感受的极限。
20173817-1230,麻省理工大学的电子工程和计算机科学很出色。
20173817-1239,她被老师凶巴巴的样子吓得说不出话来。
20173817-1263,他得了癌症; 随时受到死亡的威胁。
20173817-1271,他的故居是一个有几块木头架起来的小阁楼。
20173817-1278,骆驼可以在无水无食的沙漠里生存十几天。
20173817-1304,他高考时英语发挥不理想。
20173817-1342,他的很多玉雕作品被作为国家级礼品赠送给尊贵的外宾。
20173817-1352,晚上有一群人弹起了轻松愉快的曲子。
20173817-1373,他第一次创业失败; 钱全部赔光了。
20173817-1384,父亲是残疾人; 靠卖烧饼维持一家的生计。
20173817-1391,儿子每次都能喝120ml的奶。
20173817-1395,他拉着垃圾车; 尽职的清理西瓜皮。
20173817-1423,我们每一个人身上的优点和缺点都是并存的。
20173817-1435,我为自己挑选了一套漂亮的婚纱。
20173817-1453,我在一间工作室拍了一套个人写真。
20173817-1461,她的床又大又漂亮又舒适。
20173817-1462,现代的白领们普遍患有颈椎腰椎疾病。
20173817-1471,让运动坚持下去的最简单的方法就是坚持; 不要停止。
20173817-1494,成都是一个可以让人心情彻底放松的地方。
20173817-1515,初生儿分不清自我和客体。
20173817-1516,引导学生审视生活; 评价生活是德育的目的之一。
20173817-1538,他认为教育是心灵的转向。
20173817-1582,集体教育模式的典型代表是一个苏联的教育家。
20173817-1600,以讲学活动为主的书院萌芽于唐代。
20173817-1627,儿童认知发展的源泉是主客体之间的相互作用活动。
20173817-1640,性格差异主要表现在性格类型上。
20173817-1651,实施残疾人教育; 应当贯彻国家的教育方针。
20173817-1657,根据残疾儿童的身心特征和实际需要制定针对每个残疾儿童的教育方案。
20173817-1670,实验研究方法包括前实验; 准实验; 和真实验。
20173817-1673,数学教学要强调从学生已有的生活经验出发。
20173817-1674,假设的作用在于它是理论的先导; 起着核心作用。
20173817-1688,文献是进行科学研究的基础。
20173817-1690,一次文献贮存分散; 不够系统。
20173817-1698,问题设计是问卷编制中最为关键的一环。
20173817-1701,问卷法调查的范围广; 结果较易量化。
20173817-1706,外在效度表明实验结果的可推广程度。
20173817-1720,教育主要通过传递文化知识来培养人。
20173817-1727,文化知识制约教育的内容与水平。
20173817-1740,高等教育处于整个教育发展的龙头地位。
20173817-1742,鹦鹉有着色彩鲜艳的羽毛。
20173817-1754,芒果台几乎所有的节目都是录播的。
20173817-1783,他提出并阐明了多元智能理论。
20173817-1794,我国在西周时期就初步建立了教育考评制度。
20173817-1796,信度是指测量结果的可靠程度。
20173817-2144,山海关景区位于秦皇岛市区东部15公里处。
20173817-1819,温暖的手比冷酷的人要好得多。
20173817-1829,水仙的清洁去污能力很强。
20173817-2163,印度是南亚面积最大的国家。
20173817-2175,钟山风景名胜区位于江苏省南京市。
20173817-1853,下属很难越级直接跟大老板打交道。
20173817-1858,电脑系统在使用一段时间后会产生各种垃圾文件。
20173817-2191,平遥古城以整座古城申报世界文化遗产获得了成功。
20173817-2198,哈尔滨国家森林公园被称为东北森林植物的橱窗和缩影。
20173817-1892,他凝视着房中的天花板已经很久了。
20173817-1894,婴儿只能通过哭声来表达自己的需求。
20173817-1897,从出生到五岁; 儿童处于一个吸收知识的敏感期。
20173817-2214,九华山位于安徽省池州市东南。
20173817-1925,全面了解把握教学对象是教学成功的基础。
20173817-2227,婺源被外界誉为"中国最美的乡村"。
20173817-1945,他是英国最著名的人文主义者。
20173817-1956,他首先开辟了教育社会学这一新的研究领域。
20173817-1963,他主张社会中心的教育。
20173817-2269,白天需要让宝宝运动多一些。
20173817-1981,灰色是由白色和黑色演变而成的。
20173817-2276,白族是个古老的民族; 有着自己光辉灿烂的科学文化。
20173817-2017,汉字共有四万个字以上; 通用的有七千字左右。
20173817-2279,美国科学家在2004年诺贝尔奖评选中表现突出。
20173817-2028,澳门特别行政区是中国人口最少的省级行政区
20173817-2287,社会应把上大学作为成才的选择之一; 而不是唯一。
20173817-2295,我必须挤出更多的时间来才能完成作业。
20173817-2085,中国陆地最低点是艾丁湖（-154米）。
20173817-2306,藏族是中国古老的民族之一。
20173817-2334,哈尼族有自己的语言; 但是没有文字。
20173817-2369,他坚持把逻辑经验主义应用于教育管理研究。
20173817-2399,归纳是表征两个或更多概念间关系的陈述。
20173817-2428,上海洋山港是全球第一大港。
20173817-2453,白酒不宜代替料酒做菜。
20173817-2468,饮料中所含的糖化酵素和一些营养素在高温条件下很容易被破坏。
20173817-2506,他一面吃饭一面看女儿的成绩报告单。
20173817-2548,他敢于承担部门决策失败的责任。
20173817-2554,悲和喜只是看问题的角度不同。
20173817-2572,自然规律对每个人都是公正的。
20173817-2577,二十四节气指导着传统农业生产和日常生活。
20173817-2596,应该把困难看成是一种挑战。
20173817-2598,父母不要把心愿强加给孩子。
20173817-2627,古缇融合了意大利的艺术与中国文化。
20173817-2638,他的观点启发了许多有烦恼的父母。
20173817-2655,永旺商场在天津有很多家。
20173817-2656,真正的价值观念的教育是传输式的。
20173817-2669,鼓励孩子学会自己解决问题。
20173817-2672,要告诉孩子不懂就问; 不要有顾虑。
20173817-2674,要努力教导孩子从学习新事物中得到乐趣。
20173817-2692,要善于教育孩子如何看待和理解世界上所发生的一切。
20173817-2702,他幼时在班上功课不突出; 字也写得不好。
20173817-2714,人脑中有许多神经细胞。
20173817-2731,除夕夜家家都会准备丰盛的食物。
20173817-2739,写意画能直接抒发作者的的感情。
20173817-2786,看书的时候眼睛不要离书太近。
20173817-2808,睡觉前不要喝太多水或饮料。
20173817-2788,他对特殊问题细节的记忆力令人惊讶。
20173817-2811,古埃及人擅长酿造啤酒。
20173817-2793,他能用胶泥捏成各种小动物。
20173817-2813,埃及是世界上最早使用门锁的国家之一。
20173817-2802,世界上首条量子保密通信干线是京沪干线。
20173817-2818,中学生要保证每天9个小时的睡眠时间。
20173817-2806,美国和以色列推迟了孩子早上上学的时间。
20173817-2840,他和孩子每天都为作业问题而争吵。
20173817-2855,尽量不要让孩子发牢骚。
20173817-3060,天气预报真的很准。
20173817-3067,他的内心很强大。
20173817-2885,世界上出产农产品最多的国家是美国。
20173817-3080,小孩子有时候很吵闹。
20173817-3085,现在是法治社会。
20173817-3089,我喜欢翻唱歌曲。
20173817-2897,南美洲有世界上最大的热带雨林气候区。
20173817-2901,可以给2至3岁的儿童将一些传统的故事。
20173817-3140,我经常看时尚杂志。
20173817-2903,亚马孙河是世界上水量最大、流域面积最广的大河。
20173817-3168,治理国家是一项复杂的任务。
20173817-2918,她每天上学时都给奶奶一个甜甜的微笑。
20173817-3171,他喜欢晒太阳。
20173817-2921,他退休后开始钻研园艺。
20173817-3172,他有心脏病。
20173817-2925,世界上面积最大的高原是巴西高原。
20173817-3180,我已经考完驾照了。
20173817-3183,他有一个徒弟。
20173817-2953,他夏天喜欢去小池塘里捉鱼。
20173817-2958,花园里有一排经过修剪的常青树。
20173817-3208,我的眼睛里进沙子了。
20173817-3215,今天是英雄的生日。
20173817-3217,我要去游乐园玩。
20173817-3034,他的父母被人谋杀了。
20173817-3227,我是一个小公主。
20173817-3250,我觉得这双拖鞋该换了。
20173817-3050,我们家买了一个车库。
20173817-3306,他是世界首富。
20173817-3055,他撞了我一下。
20173817-3327,她是世界上最美的人。
20173817-3345,天下没有免费的午餐。
20173817-3400,只是我的私人海岛。
20173817-3417,你上网查一下这个问题。
20173817-3419,猫咪吃掉了这条小鱼。
20173817-3556,要把学习放在重要位置上。
20173817-3433,班长是一个正直的人。
20173817-3434,他是一个智障。
20173817-3438,他不会游泳。
20173817-3562,裁缝把她的衣服改小了。
20173817-3439,生日的前一天要吃长寿面。
20173817-3603,大荧幕新人的首次亮相可谓气势十足。
20173817-3456,我相信自己一定可以中奖的。
20173817-3617,政府控制着民间舆论的走向; 
20173817-3473,医生说他活不久了。
20173817-3629,宇宙的产生源于一次大爆炸。
20173817-3637,听君一席话; 胜读十年书。
20173817-3498,我们之间一定有误会。
20173817-3644,请合理疏导负面情绪。
20173817-3510,我们活过的样子; 宇宙会记得。
20173817-3515,没有给他们提供助听设备; 也没教过他们唇读。
20173817-3654,中国的国际地位在提升。
20173817-3662,他的办事效率太低。
20173817-3526,我喜欢的东西都很贵; 想去的地方都很远。
20173817-3668,我不喜欢吃火锅。
20173817-3527,他无情地拒绝了她的请求。
20173817-3673,我家的沙发很软。
20173817-3706,她徒手攀爬世界上最陡峭的岩壁。
20173817-3709,你打车的费用单位帮你报销。
20173817-3546,我们今年还没交学费呢。
20173817-3551,她有一头柔顺的秀发。
20173817-3713,一个人创造的社会价值不能用收入去衡量。
20173817-3723,美国一过街天桥倒塌; 致数人死亡。
20173817-3725,这起家暴事件的影响恶劣。
20173817-3743,生活中解决问题远比计较对错更有魅力。
20173817-3744,他得了癌症。
20173817-3750,他是一名公务员。
20173817-3757,我知道即使我要背叛这个世界; 你也会站在我身边。
20173817-3831,他去纹身了。
20173817-3843,他的观点启迪了我的思维。
20173817-3852,在你的实力还跟不上野心的时候就静下心来努力。
20173817-3899,这次访问取得了显著成果。
20173817-3925,恭喜发财; 红包拿来。
20173817-3932,早晨的时间是很金贵的; 思路是清晰的。
20173817-3954,如果你能够学会控制自己; 你可以改变你人生当中的许多事。
20173817-3961,不要把时间浪费在没有意义的事情上。
20173817-3982,浪费时间就是浪费生命。
20173818-19,自己的事情自己做; 不要依赖别人
20173818-21,我已经没有力气了; 我尽力了; 请谅解
20173818-26,我希望大家每件事都要积极面对
20173818-27,你说的容易; 想过我们的感受吗
20173818-30,不要轻信别人对你许下的承诺; 凡事要靠自己努力
20173818-31,我是个容易相信别人的人; 所以经常上当
20173818-34,我得提醒你们一下; 时间不多了
20173818-40,你不应该随便乱花钱; 父母赚钱很辛苦的
20173818-42,教室太吵了; 班长的劝阻也没有效果
20173818-45,不要重复这种愚蠢的错误; 没人有义务提醒你
20173818-48,因为工作上的失误; 他被开除了
20173818-58,请排队; 别推搡; 别加塞
20173818-63,在超市特别降价的时候; 就是销量最好的时候
